Title,Description,PostsNum
If equals info in excel cell then...,"Version 11.5
Windows 10 
IE 11

If the number I extract from a website is equal to the number in Column 1 of excel I would like to grab the name in Column 2 of excel and paste it back into a field on the website.  If it does not equal then check next row until there's a match.  Is it possible to perform this?  I imagine I must have to use EVAL to check for a match but I am unsure how to set up the EVAL statement below.
TAG POS=26 TYPE=TD ATTR=* EXTRACT=TXT
SET !LOOP 1
SET !DATASOURCE C:\Users\*\Desktop\*.csv
SET !VAR1 EVAL(""if({{!COL1}}=={{!EXTRACT}}){{{!COL2}}}else{do nothing};"") 
TAG POS=1 TYPE=INPUT:TEXT ATTR=NAME:txtBorrower CONTENT={{!VAR1}}",10
Half of extracted data goes into 1 cell the rest is seperate,"Hey guys, 

I need help with a couple things.  I have created a macro to go into a webpage and download a table and create an excel file.  Easy enough.

When the table has a small amount of information it puts all of the information into one cell as one long string.  This is ok because I have created a VBA script to split the text and format it how I want.

The problem I am having is that when I download the table and it has a lot of information for a whole month it will put the first half of the report all into one cell and then the second half goes into individual rows.

The macro I have created can't work with both formats.  Is there something I can do when I extract to either have it all go into one cell or have them all go into individual rows but not both?

Thanks",17
Dropdown list not triggered,"Hi All

I'm new to this so please excuse any obvious errors. I'm trying to do something quite basic - get to a train schedule web page, which shows the delays for various lines. I've made a basic script with the iMacros record. When running, it reaches the page, but will not populate the dropdown list to select the line captured during the iMacros record process. I included a 5 second wait to allow any AJAX or dynamic code to load. Here's the script to select the Central line:
Code: Select allVERSION BUILD=9030808 RECORDER=FX
TAB T=1
URL GOTO=https://app.gometro.co.za/#/chooseline
WAIT SECONDS=5
TAG POS=1 TYPE=LI ATTR=TXT:Central


The page uses the React javascript framework (which I'm not familiar with) and the line selection code looks as follows:
Code: Select all<div class=""mdl-grid wrapper""><div class=""mdl-cell mdl-cell--12-col""><!-- react-empty: 860 --><div class=""main-heading"">LINE UPDATES - CHOOSE A LINE</div><div id=""choose-a-line"" style=""display: block;""><div class=""mdl-selectfield""><div class=""mdl-textfield mdl-js-textfield is-upgraded"" data-upgraded="",MaterialTextfield""><input class=""mdl-textfield__input"" id=""textfield-Selectaline"" readonly="""" value="""" type=""text""><label class=""mdl-textfield__label"" for=""textfield-Selectaline"">Select a line</label></div><i class=""mdl-selectfield__arrow""></i></div></div></div></div>


So I'd like to ask the forum members is anyone has suggestions for resolving this?

Many thanks
Cliff",2
Determine row in which a string is in an HTML table,"How can I determine in which row of a table a certain string is and save it into a variable using iMacros? (and use that position to later click a link with iMacros)

Thanks! ",8
Get image source generated via JavaScript,"I have a page with captcha values, 
1.png, 5.png....

I was thinking to extract the image source to get rid of the captcha. But the problem now is, the image source are generated via JavaScript

In that case how can I pickup the image sources?",2
NEWBIE : How to Loop and Click Next?,"first time using iMacros.

I want to run a loop 50x then when it is done, 
click the ""Next"" button and run the same loop again 50x, 
click ""Next""... and run until ""Next"" is no longer clickable.

so far i have this working for 1x loop.  
but i cant get it to run the text extraction+CSV export 50x.. THEN click NEXT.

Code: Select allSET !LOOP 1

TAG POS={{!LOOP}} TYPE=TD ATTR=CLASS:domain EXTRACT=TXT
SAVEAS TYPE=EXTRACT FOLDER=* FILE=Extract_{{!NOW:ddmmyy}}.csv

'click NEXT'
TAG POS=1 TYPE=A ATTR=TXT:Next

WAIT SECONDS=3",2
Data extraction from .CSV -> export/submission on webpage.,"System info:
1. VERSION BUILD=9.030808 RECORDER=FX
2. Windows 10 - English
3. Firefox 54.0.1
4. The macro works okay, it just doesn't have all the features I need.
5. No problems
6. No problems
7. Just need help with the macro.

I am attempting to submit a large amount of zip codes (for each state in the U.S.), and would like to export data from my .CSV file and loop the function to run through the single column of data.

----------------------------------------------------------------------------------------------------------------------------------------------

Here is my example:
SET !DATASOURCE zips.csv
SET !DATASOURCE_COLUMNS 1
SET !ERRORIGNORE YES
'
'
SET !LOOP 2
SET !DATASOURCE_LINE {{!LOOP}}
TAG POS=1 TYPE=INPUT:TEXT FORM=ID:agentProfileForm ATTR=ID:serviceAreaZip CONTENT={{!COL1}}
WAIT SECONDS=1
TAG POS=1 TYPE=INPUT:BUTTON FORM=ID:agentProfileForm ATTR=ID:zips

----------------------------------------------------------------------------------------------------------------------------------------------
The function works partially (I am open to any, and all suggestions). Furthermore, after I type in the zip code, the website displays a ""X reps found in this area."" I was curious to see if it is possible to basically export a number from the answer ""X"" and import it into the 2nd column of my .CSV file.

To summarize it, I am looking to critique my macro to make sure I have set it up correctly, and to also seek assistance on how to export an answer from the submission on the website to the 2nd column in my .CSV file. I appreciate any assistance that I may receive.

(Pic of the result whenever it finds reps)
https://drive.google.com/file/d/0B-7PKC ... 0txMF92bmM

(Pic of the result whenever it doesn't find reps)
https://drive.google.com/open?id=0B-7PK ... WUtUzRESGM

EDIT/UPDATE:
After some consideration, I have gotten to the point where I am able to extract the text into the .CSV file but I am having difficulty trying to choose which column to output the data into. It seems to be that the input isn't the problem, just the export from the text extraction to the input of the extracted data into the .CSV.",6
Bittrex,"Hi guys, 
my macro is for bittrex.com.
I wanna make a macro for make a sale order 15% bigger the ask price .

I have write a code but he dont work....
VERSION BUILD=9030808 RECORDER=FX
TAB T=1
TAG POS=1 TYPE=DIV ATTR=TXT* EXTRACT=TXT
SET !VAR1 {{!EXTRACT}}
SET INC 1.15
SET VALUE EVAL(""{{!VAR1}}*{{INC}}"")
TAG POS=1 TYPE=INPUT:TEXT FORM=ID:form_Sell ATTR=NAME:price_Sell CONTENT={{!VALUE}}

anyone can help me.
thanks (sorry for my english im french)",6
Search Results,"Being new to iMacros, I'm attempting to write a macro to process through a search of names.
I've looked at the documentation and search the forum, but didn't find any examples of what I need to do.
Seems like it would be simple to do, but so far, nothing I've tried works. Could be my syntax of just not using the
command correctly.
Here is the issue: after a user logs in, they need to enter a persons last name to do a search on that.
I prompt for the name and store it in var1, that part works okay.
Once I use that in the search, the search sometimes returns maybe 25 or more last name, first name pairs that
might stretch over 7, 8, 9 pages.
The user then negotiates over those pages till they find a match.
Could be anywhere, say it's on page 4.
I then need to capture the results of that exact match and then use that data later one.
This is what I have 

PROMPT ""Please enter last name name:"" !VAR1 
TAG POS=1 TYPE=INPUT:TEXT FORM=ACTION:/Access/NameSearch/Results ATTR=NAME:TextSearchQuery CONTENT={{!VAR1}}
TAG POS=1 TYPE=BUTTON:SUBMIT FORM=ACTION:/Access/NameSearch/Results ATTR=ID:SearchButton

/* User now is presented with a list, several pages of names that they 
   must select from

TAG POS=1 TYPE=A ATTR=TXT:2
TAG POS=1 TYPE=A ATTR=TXT:3
TAG POS=1 TYPE=A ATTR=TXT:4

/* After the user finds the correct match, they select it and continue on
   with the results of their selection. This is the results from their select
    action:

TAG POS=1 TYPE=TD ATTR=TXT:SMITH,<SP>JOHN<SP>A

I've tried a number of solutions, nothing has worked. 
Here is one example of what I tried with the select command:

TAG POS=1 TYPE=SELECT FORM=NAME:form1 ATTR=NAME:select1 CONTENT=${{!VAR1}}

I just need to know what the user selected, grab that data and continue on.
Any tips or suggestions would be appreciated.",4
Extracting attributes values dynamically imacros,"This is the html text
Code: Select all  <select name=""ctl00$ContentPlaceHolder1$ddltype"" id=""ctl00_ContentPlaceHolder1_ddltype"" class=""page-heading"" style=""background-color: rgb(255, 244, 244); width: 125px; outline: 1px solid blue;"">
    			<option value=""0"">Select Bricks</option>
    			<option value=""brk_A_price"">A</option>
    			<option value=""brk_B_price"">B</option>
    			<option value=""brk_oth_price"">Others</option>
    
    		</select>
    .
    .
    .
    .
    <select name=""ctl00$ContentPlaceHolder1$ddlReportOn"" id=""ctl00_ContentPlaceHolder1_ddlReportOn"" class=""page-heading"" style=""background-color:#FFF4F4;width:135px;"">
    			<option value=""0"">Select Report For</option>
    			<option value=""1"">Comparison</option>
    			<option value=""2"">Variation</option>
    
    		</select>

So from above html I want to extract option Values i.e brk_A_price,brk_B_price,brk_oth_price from first select tag and 1, 2 from second select tag.
Code: Select all 'code to get brk_A_price,brk_B_price,brk_oth_price
    TAG POS=1 TYPE=SELECT ATTR=id:ctl00_ContentPlaceHolder1_ddltype&&TXT:* EXTRACT=HTM
    TAG POS R1 TYPE=option ATTR=value&&TXT
    
    'code to get 1, 2
    TAG POS=1 TYPE=SELECT ATTR=id:ctl00_ContentPlaceHolder1_ddlReportOn&&TXT:* EXTRACT=HTM
    TAG POS R1 TYPE=option ATTR=value&&TXT

However, for every dropdown I would want to change just the **id** attribute, but for the code I tried it is just able to extract the text and not values from `<option..>` tag.

> p.s: http://briks.gov.in/Report/Rept_Building_Brik.aspx is the site from where I'm extracting data

Any suggestion on what changes should be made.
Any help would be much appreciated.
Thanks",2
LinkedIn tagging question,"Windows 10
iMacros for Firefox. VERSION BUILD=9030808
Firefox 54.0.1 (32-bit)

Hi all,

I have a LinkedIn profile scraper that extracts profile data into a CSV (code at bottom of post). It does the job very well, with one key caveat: it can't account for instances where a piece of information is missing from a section of the profile. As an example, see this profile: https://www.linkedin.com/in/darylpereira/

Look at the second position in Daryl's profile and note that he did not include a date range. My program is trained to find position 2 and print it, then find date range 2 and print it. But it can't tell when there is no date range 2. Instead, the date range associated with the 3rd position will be considered the second date range. The result is that the dates are off for him (I have him joining IBM in this capacity in Nov 2005, he really joined in Sep 2008). Many, many profiles have this issue. I need the date range data to be accurately attributed to the positional and educational data. Otherwise, it's not useful for the analysis.

I believe the answer is that I need to be using a python or other coding interface so that I can integrate if/else functionality. But I'm really hoping someone might have a workaround for iMacros, because I'm not any good at coding. Anyway, all ideas are appreciated. Here's the code I mentioned (feel free to use it - the reference is just the list of profile links):
Code: Select allVERSION BUILD=9030808 RECORDER=FX
TAB T=1
TAB CLOSEALLOTHERS
SET !ERRORIGNORE YES
SET !DATASOURCE LinkedInURLs.csv
SET !DATASOURCE_COLUMNS 1
SET !LOOP 1
SET !DATASOURCE_LINE {{!loop}}

URL GOTO={{!COL1}}

WAIT SECONDS=10

ADD !EXTRACT {{!COL1}}

TAG POS=1 TYPE=h1 ATTR=CLASS:* EXTRACT=TXT

TAG POS=1 TYPE=h3 ATTR=class:""Sans-**px-black-**%-semibold"" EXTRACT=TXT
TAG POS=1 TYPE=span ATTR=class:pv-entity__secondary-title* EXTRACT=TXT
TAG POS=1 TYPE=h4 ATTR=class:pv-entity__date-range* EXTRACT=TXT
TAG POS=1 TYPE=h4 ATTR=class:pv-entity__location* EXTRACT=TXT

TAG POS=2 TYPE=h3 ATTR=class:""Sans-**px-black-**%-semibold"" EXTRACT=TXT
TAG POS=2 TYPE=span ATTR=class:pv-entity__secondary-title* EXTRACT=TXT
TAG POS=2 TYPE=h4 ATTR=class:pv-entity__date-range* EXTRACT=TXT
TAG POS=2 TYPE=h4 ATTR=class:pv-entity__location* EXTRACT=TXT

TAG POS=3 TYPE=h3 ATTR=class:""Sans-**px-black-**%-semibold"" EXTRACT=TXT
TAG POS=3 TYPE=span ATTR=class:pv-entity__secondary-title* EXTRACT=TXT
TAG POS=3 TYPE=h4 ATTR=class:pv-entity__date-range* EXTRACT=TXT
TAG POS=3 TYPE=h4 ATTR=class:pv-entity__location* EXTRACT=TXT

TAG POS=4 TYPE=h3 ATTR=class:""Sans-**px-black-**%-semibold"" EXTRACT=TXT
TAG POS=4 TYPE=span ATTR=class:pv-entity__secondary-title* EXTRACT=TXT
TAG POS=4 TYPE=h4 ATTR=class:pv-entity__date-range* EXTRACT=TXT
TAG POS=4 TYPE=h4 ATTR=class:pv-entity__location* EXTRACT=TXT

TAG POS=1 TYPE=h3 ATTR=class:pv-entity__school-name* EXTRACT=TXT
TAG POS=1 TYPE=p ATTR=class:""pv-entity__secondary-title pv-entity__degree-name*"" EXTRACT=TXT
TAG POS=1 TYPE=p ATTR=class:""pv-entity__secondary-title pv-entity__fos*"" EXTRACT=TXT
TAG POS=1 TYPE=p ATTR=class:pv-entity__dates* EXTRACT=TXT

SAVEAS TYPE=EXTRACT FOLDER=* FILE=LinkedInResults.csv

WAIT SECONDS=5
",3
Please Help me to Scrool Down Scraping,"Here is my code 
Code: Select allVERSION BUILD=10022823
TAB T=1
TAB CLOSEALLOTHERS
SET !EXTRACT_TEST_POPUP NO
SET !ERRORIGNORE YES

URL GOTO=https://www.agritechnica.com/en/exhibitors-products/exhibitors-products-2017/#!/
TAG POS={{!LOOP}} TYPE=DIV ATTR=CLASS:<SP>col-xs-12 EXTRACT=TXT
SAVEAS TYPE=EXTRACT FOLDER=C:\Users\Yohan\Desktop FILE=lat100.csv

you can check it to visit that link, it just can scrape first 30 data. i need scrool down the data to scrape the next. please help me",1
Extract table,"Hi,

I'm working on a new project : from a datasource csv, I fill out a form with LOOP, that returns tables.
I would like to extract these tables cell by cell but the tables don't have the number of lines.
Actually, I repeat 9 times  (max !VAR) the code :
Code: Select allTAG POS=R1  TYPE=TD ATTR=TXT:* EXTRACT=TXT
TAG POS=R1 TYPE=TD ATTR=TXT:* EXTRACT=TXT
TAG POS=R1 TYPE=TD ATTR=TXT:* EXTRACT=TXT
TAG POS=R1 TYPE=TD ATTR=TXT:* EXTRACT=TXT
TAG POS=R1 TYPE=TD ATTR=TXT:* EXTRACT=TXT
TAG POS=R1 TYPE=TD ATTR=TXT:* EXTRACT=TXT
TAG POS=R1 TYPE=TD ATTR=TXT:* EXTRACT=TXT

SAVEAS TYPE=EXTRACT FOLDER=* FILE=+FICHIERpro_{{!NOW:yyyymmdd}}

SET !TIMEOUT_STEP 1
TAG POS=R1  TYPE=TD ATTR=TXT:* EXTRACT=TXT
TAG POS=R1 TYPE=TD ATTR=TXT:* EXTRACT=TXT
TAG POS=R1 TYPE=TD ATTR=TXT:* EXTRACT=TXT
TAG POS=R1 TYPE=TD ATTR=TXT:* EXTRACT=TXT
TAG POS=R1 TYPE=TD ATTR=TXT:* EXTRACT=TXT
TAG POS=R1 TYPE=TD ATTR=TXT:* EXTRACT=TXT
TAG POS=R1 TYPE=TD ATTR=TXT:* EXTRACT=TXT


SAVEAS TYPE=EXTRACT FOLDER=* FILE=+FICHIERpro_{{!NOW:yyyymmdd}}
...

Sometimes There are more than 9 lines and I waste a lot of time to extract what I want.
How to avoid repeating the code (ENDOFPAGE ?, LOOP?)

Any help would be appreciated.

FF 54.0.1
IMacros 9.0.3
Windows 7",4
