Title,PostCount,ReplyCount,Excerpt,tag
Office365 activities OneDrive,4,2,"We are using the The Microsoft Office 365 Files activities provide methods to search for files, in particular &quot; Find Files and Folders) 
The Robot is connecting to Windows 10 with Console session (Login to console is ena&hellip;",it-automation
IT Automation Activities for VMWare,31,18,"Update!

This activity is now available on the Official Stable Feed:



Learn more about it here :point_down:

As a first step in our IT Automation roadmap, we’re excited to announce our VMware activities package is now&hellip;",it-automation
Edit PDF Digital Forms,9,5,Hi is there any way to Edit Digital PDFs using Uipath?,it-automation
Proxy script edge browser sessions,2,0,Hello. I am looking to find a way to automate and check the browser settings on Edge in the init stage of an RE Framework Process. The download settings and cookies and permission settings have to be manually set up to d&hellip;,it-automation
How do I get the path of the VM. Is there a way to get all the VMs in that vCenterServer,22,18,"Hi @ovidiuponoran, 
We are experimenting with this beta version.  How do I get the path of the VM. Is there a way to get all the VMs in that vCenterServer. 
Thanks, 
Ashok",it-automation
Azure Windows Virtual Desktop (WVD) Activities are available for Public Preview,2,0,"Description
UiPath.AzureWindowsVirtualDesktop.Activities package offers activities for Azure Windows Virtual Desktop (WVD). WVD is a desktop and app virtualization service that runs on Azure cloud. 
This set of activiti&hellip;",it-automation
How to identify week day for a date?,5,1,"I need to find a weekday for a date. 
example:- 
Date= (08/03/2021) then return value should be Tuesday/3(0-7). 
0 will be Sunday 
1 will be Monday so on",it-automation
Can a headless browser submit a file on the server?,3,1,"I have a modal form that is filled in by folks interestred in buying a home and once its filled in i need to get it loaded to a different form and submitted to the final destination. 
I have saved the field data on hard &hellip;",it-automation
Oracle script exection- PL/SQL procedure,2,0,"Hi Team, 
I need to execute the below script in uipath, connecting using connection string. 
Not able to get the output as expected: 
[11:11] Sait, Girish 
SET SERVEROUTPUT ON 
DECLARE 
CURSOR cur_wtn 
IS 
SELECT ref_id_&hellip;",it-automation
IT Automation Samples and Learning,18,9,"That’s a great news from Uipath… 
Expecting few more samples for easy learning. Which activity we can use for updating the details(for eg: phone number, address etc) while user creation? Plz share samples if possible. &hellip;",it-automation
How to move Files from one folder to another?,8,1,"Hi, 
I am trying to move few files from a folder to another. I could not use Move Files option successfully. It asks for File name in the From field (but the properties panel shows it as path). When it is run, it conside&hellip;",it-automation
Amazon WorkSpaces Activities are available for Public Preview,4,0,"Description
UiPath.AmazonWorkSpaces.Activities package offers activities for Amazon WorkSpaces. Amazon WorkSpaces is a Desktop-as-a-Service (DaaS) solution that can be used to provision Windows or Linux cloud-based virt&hellip;",it-automation
Attach window performing in actions in sap,3,0,Do we need to use attach window when performing the actions in sap?,it-automation
Need help to identify the variable type for the word having string with number,6,4,"Hi Team, 
I am a newbie to this UI_Path automation technology, I am trying to create logon sequence where I have to provide user name as string+number, Kindly suggest the appropriate variable type for this",it-automation
How to establish a Connection for mainframe (QWS3270 Secure),17,14,"Hi, 
I am new to mainframe. Please help me to establish a connection in qws3270 for the terminal type IBM-3278-2. 
I have tried using ‘UiPath Internal’ option with hostname and port 
and “IBM ELLHAPI” option with winhlla&hellip;",it-automation
Comparing data in two different databases,5,1,"Hi, 
Here is my testcase that needs to be automated. 
There is a schema in oracle db that needs to compare with a table in Microsoft sql developer using UI path… 
Can anyone help me with this scenario? 
Note: i am a begi&hellip;",it-automation
Query for multiple windows login,1,0,Is it possible to login unknown Windows machine (in or out of domain) with admin credential and take screenshots once checks on system is done?,it-automation
Reboot AWS EC2 instance using UiPath,5,3,"Hi - Is there any UiPath activity which can help in rebooting an AWS EC2 instance? 
Thank you.",it-automation
Raise a ETL job Request in Tidal to load changes from Oracle to Sql DB's,1,0,"I have a scenario to be automated in UIPath studio Pro Community using “Test Automation” 
1)Raise a request to run the &#39;oracle to Sql &#39;DB–&gt;ETL job request raised in Tidal 
2)Verify the ETL job has completed normally–&gt;The&hellip;",it-automation
Redis-server.service start operation timed out. Terminating,3,0,"Hi Team, 
When I try to start redis-server service, I am getting following error message(I have attached error message). 
Please give me a suggestion to solve it. 

systemctl status redis-server.service
● redis-server.se&hellip;",it-automation
Featured and non featured items,3,0,"Hi all, 
this is my first post,I  have been learning uipath and  I have got lots of info after going through different posts,I would like to  know how to get selector information for featured and non featured items of &hellip;",it-automation
Automatic setup of virtual machines,2,0,"Hello guys, 
We have a case that the number of Virtual Machines where the bots can run is increasing. So, I want to know if someone is using a kind of script to run in each machine to do the configuration of the windows &hellip;",it-automation
Download File activity failed to capture the file output,15,13,"This question is to be answered by UiPath architect team. 
@developers - please excuse. 
Issue - The ;download file’ activity is randomly (or occasionally) failing to capture the output file. We did all the possible ways&hellip;",it-automation
Add Tenant disabled in uipath cloud,4,2,Add Tenant is disabled in the cloud portal and I am unable to launch my orchestrator. It was deleted accidentally. Could someone assist on how to fix this please.,it-automation
SAP Business One Automation with UiPath,2,0,"Any good links for studying SAP Business One Automation with UiPath. 
I am new to this actually, 
any good resources will help. 
thanks, 
varun.",it-automation
Connect to Fire-base Database,2,0,"Hi All, 
I am try to connect with firebase database into my bot with the Firebase Connector , But I can’t able to connect it. 
Please guide me to connect with the Firebase. 
Firebase connector scope activity has two inpu&hellip;",it-automation
Jenking CICD UiPath Pack. Failed to run command,9,4,"Getting below error for jenkins UiPath Pack build action 
Extracting cli to temp folder C:\WINDOWS\system32\config\systemprofile\AppData\Local\Jenkins.jenkins\workspace\UiPathProject@tmp…done! 
[net461] $ C:\WINDOWS\syst&hellip;",it-automation
Hosting UIpath in Client Network,2,0,"Hi Experts, 
we have received an approval from Major client to have UIpath in client Environment, However, the client has informed that they new to this technology and do not how to do this, and asked us to provide below&hellip;",it-automation
To check if row contains more than one code,12,7,"Hi, 
After scrapping the value and write it to excel file , I want to check if row(0) contains multiple code like (h1, h4,h6) i want to proceed . 
I’m not sure how to write in if condition row(0).toString={“h1”, “h4”} 
  &hellip;",it-automation
Input zero value in field on all populated rows in Web app,6,2,I need to input zero value on a field ‘% utilization’ on all display rows in Web app.  There can be one row or multiple rows and I need the bot to input zero in the field.  What do I need to do to accomplish this task?  &hellip;,it-automation
UiPath Orchestrator Not Connecting,11,6,"not able to connect to UIRobot , UIOrchestrator with my UIStudio. 
have done everything correct but still the same issue. 
does machine name,  username and domain name are case sensitive ? 
Couple of days back it &hellip;",it-automation
Could not read data from website,10,5,"I am trying to read data from the a website and have defined the selector as mentioned below but the data is not read and I get the error in the screenshot. Appreciate assistance. 
  
Below highlighted are the data that &hellip;",it-automation
Google Chrome Extension not working. Trying to capture a rightclick menu. Extension not installed message keeps popping,5,1,"I am using the latest version of chrome, uipath and windows 8  . I have installed the chrome extensions many times still while recording i get the error extension need to be installed or activated. Chrome version is  84.&hellip;",it-automation
Assets ( Single Value ),5,2,"Can anyone please help me know how to look out for single value option in assets . 
at present I am only able to create per robot value. 
Thanks,",it-automation
Cannot find HotKeyTrigger Activity under Monitor events activity in Latest version of UiPath 20.10 ( Manage Packages),2,0,"cannot find HotKeyTrigger Activity under Monitor events activity in Latest version of UiPath 20.10 
also tried looking in Manage Packages but all in pain… 
can anyone please help ?",it-automation
Azure DevOps build generates library package without .dll file in it,7,5,UiPath Pack created nuget package for a library type project but does not have a dll file within it. It gives no error as well. This seems to happen only when I use “Invoke vba” activity. Otherwise it does the job correc&hellip;,it-automation
Ho to identify and click on a link based on a text,11,9,"Hello! 
I want to click on a link based on a text I intend to read. But the activity doesnt recognise the text &amp; I also need help on tagging the corresponding link to be clicked. Appreciate your assistance. 
Below is the&hellip;",it-automation
Error --> Bulk Add Queue Items: Operation returned an invalid status code 'NotFound',3,0,"I get the below error when I am trying to add items to queue. 
Queue Name is valid and exists. Robot is provisioned. But the queue is not identified while the process is run. Any idea anyone? Any help would be appreciate&hellip;",it-automation
"In middle of execution ""UiPath automation extension"" getting disabled",1,0,"Good Morning Everyone! 
Recently i have upgraded my chrome browser from 77.x to 80.x,  after that am noticing chrome browser uipath extensions is getting disabled in middle of execution and throwing exception as “Cannot &hellip;",it-automation
What is OKTA?,2,0,I am going to take the OKTA Course Can any one tell me what is OKTA? and what is the future in OKTA?,it-automation
I need to capture KYC using OCR reading of Country ID submitted by customer,3,0,"I need to capture KYC data using OCR, reading of Country ID, these will be submitted by customer through their mobile so these images can be in any size dimension wise. What is the right solution for such requirement usi&hellip;",it-automation
On image appear probleme,2,0,"hello guys I am trying to use the event on image appear within my automation but it doesn’t work. It acts as if the image selected wasn’t on the screen. 
I want to use this to tel the robot thaht when that picture appear&hellip;",it-automation
One process should be executed by multiple robots,3,0,"Hallo, 
today I would like to ask how you would solve a problem like this. 
Imagine the following scenario. You have a finished process and you want multiple robots to perform this process at the same time. You can defin&hellip;",it-automation
How to read more than 100 items with Get Queue Items,6,4,"Could someone assist me with a sample of reading more than 100 items from a queue. 
I read from the cforum that Pagination &amp; reference properties of ‘Get Queue Items’ can be used to achieve this but couldnt figure how to&hellip;",it-automation
SAP selector screen after transaction,5,1,"Hi Gurus, 
As you all know SAP will remember the last visited document number in its transaction. When my robot enters the transaction in SAP eg IW52, SAP captures the last processed document number and thereby the robot&hellip;",it-automation
For Each Loop : Object reference not set to an instance of an object,26,19,"Hi, I get the below error when I am trying to read excel files one by one using for each loop and write to queue using reframework. I am invoking WriteDataToQueue.xaml from GetTransactionData.xaml. 
For Each: Object refe&hellip;",it-automation
How to retrieve the last cell of a coulmn where each coulmn in the excel have different length,4,1,"Hi Team, I am trying to retrieve the last cell of a coulmn and in my excel sheet I have different lengths of coulmn… so I am not able to use the row count formula to get to the last cell of a specific column. Any help wi&hellip;",it-automation
Copy duplicated rows of a datatable into another datatable,6,2,"Dear everyone, 
I need help here. 
I have everyday around 5000 rows of which I need to identity the duplicated row based on the value of a specific column, say “column 1”. I tried the following expression and it works fo&hellip;",it-automation
PDF Creation,5,2,"Hi , 
I do have a text file, now i need to convert this to PDF, 
The issue is in text there is no logo, 
However pdf file which i need to create has many logos and images. Is it any way i can do this through uipath",it-automation
No text is wrtitten in Notepad,9,4,"Hi, 
I’am just strting UIPath. 
So I have began the first tutorial “Creating a Basic Process”; 
I follow, I think exactly all the steps. 
I validate that there is no errors. 
I launch with F5. 


The browser with Advance&hellip;",it-automation
Can we hand;e CEF pages using UI Path?,2,0,"We have a windows desktop application where we have embedded CEF pages. We have some ribbn cordiantes which on clicking opens an embedded chrome page. Is automation of such pages possible using UI Path ? 
requesting you &hellip;",it-automation
How can I integrate adding items to queue in RE Framework before Get Transaction Data is executed?,6,3,"Hi, 
I am using REFRamework to build a process. I want to add items to queue. I added this as part of Process.xaml initially. But I realise that the GetTransactionData.xaml looks for data from queue before performing the&hellip;",it-automation
How to pass variables dynamically in connection string,9,5,"Hi im using excel as automation and used OleDB connection and the below is my connection string 
“Provider=Microsoft.ACE.OLEDB.12.0; Data Source=“C:\Users\Muthulakshmi\Downloads\Requester_1.xlsx”; Extended Properties=‘Ex&hellip;",it-automation
Remove paragraph symbol,2,0,"The following is the results of a get text from a web site. 
 
I have tried a trim, which removed all the tabs and new line.  I can not find the character that represents the paragraph symbol in order to do a trim or spl&hellip;",it-automation
Double Click Text :Cannot find the UI element corresponding to this selector,11,5,"Hello guys, 
I am new to uipath and facing an issue here, when I am trying to automate the SAP application. 
Scenario: 1) I am accessing  some T-code and then I click on Get variant icon. 
2) A new window(Get Variant) op&hellip;",it-automation
SAP random click on checkboxes,4,1,"Hello experts, 
I have a scenario in SAP where I want to generate random clicks for the given checkboxes. It is in a matrix-like form where the click shall be made by the end-user. The catch here is that the checkbox mat&hellip;",it-automation
Uipath Get Mail Message from Speciak Mail Group,3,1,"Hello dear forum members, 
I would like to access outlook mail messages which comes to the specific company mail group. 
For example 
Main Mail 
a.Inbox 
b.Drafts 
C.Sent Items 
and so on. 
FactoryMailGroup 
a.Inbox 
b.D&hellip;",it-automation
How to write data to excel using each row activity?,3,0,"Hello, 
I have the below excel data format which I have to update. 
 

Read the excel sheets one by one
Add to Queue
Fetch transaction item
Fetch latest stock price for the stock
Write the latest fetched value in the spe&hellip;",it-automation
How to write data to excel after reading data related to a queue item from website?,4,1,"Hello there, 
I am trying to achieve the below but could not figure out how to write the data to excel after the previous activities. Appreciate help in resolving this. 

Using For Each loop to read data from set of exce&hellip;",it-automation
Web Automation for,2,0,"Hello Team, 
I have a website in which every week the new file is uploaded . Now I have to automate in such a way that my process should check for new file every week and upload it in the destination folder. 
Please help&hellip;",it-automation
DataScrapping on an infinite scrolling page,6,1,"Hello, 
I am new to UiPath and just getting started: 
I would like to scrap data on an infinite scrolling page (the page keeps loading for new results when scrolling down to bottom of page). 
Unfortunatly, the only answe&hellip;",it-automation
Software Update,8,5,once the environment of the software changes so i i have to build activites again which i have created early for older environment?,it-automation
Bulk Add Queue Items: Operation returned an invalid status code ‘NotFound’ - Error while loading to queue,4,1,"I get the below error when I am trying to add items to queue. 
Queue Name is valid and exists. Robot is provisioned. But looks like, the queue is not identified while the process is run. Any idea anyone? Any help would b&hellip;",it-automation
Automate the web service now Application,4,1,"My requirements is to automate the Service now Web application,my bot should open the service now Application in Web portal.if I have a 5incidents in my quee and I need to Loop the incidents one by one, open the Frist in&hellip;",it-automation
Getting invalid path all in sudden on the screen and uipath tool getting closed,3,0,"Hi All, 
Suddenly on uipath screen in miiddle of execution iam getting this message… 
 
and when i verified in logs i also see below meesge . 
Can some one help me how to  resolve this issue.Every time tool getting close&hellip;",it-automation
Default activity size,1,0,"Hi all! 
I create a custom activity using “activity creator”. 
How I can change default size this activity using .xaml ? 
for my projects, i trying create MINIMAL size activity for flowchart. 
This activity needs to do n&hellip;",it-automation
Error while trying to read a range from excel,9,5,"Read Range: The process cannot access the file ‘****CustID_1111.xlsx’ because it is being used by another process. 
*** is the path. 
The excel is not open but this error is thrown. Does anyone have an idea why this is h&hellip;",it-automation
Windows server or windows 7 configuration setting for UiPath,11,8,"Hello,. 
i have a lot questions from our Client especially from IT Division about configuration that we have to comply before implemented UiPath in their system. and most questions related for Windows server and windows &hellip;",it-automation
I can't get data scraping to return any data,5,2,"Hi all, 
I’m pretty new with UiPath. This is the first issue I haven’t been able to resolve. I’m trying to get a data table from a web page (I would provide screenshots but I’m worried I could be violating some sort of n&hellip;",it-automation
Getting UI Element or Selector not found exception,6,1,"Hi, 
I am facing an issue (i.e. UI element or selector not found exception). Actually, I am trying to extract the table’ data(basis on which I have to take some decisions) from an internal website. This data is coming fr&hellip;",it-automation
"How are the attended bots deployed,triggered in production?",1,0,"How are the attended bots deployed,triggered in production?",it-automation
Read large text file,4,1,I have a large text which i want to read the size of the file is 1.5 MB. when i try to use the read text file activity i am getting error due to large size. The text file contain some meta data in the starting and later &hellip;,it-automation
Books recomendation to read?,2,0,"Hello everyone, im searching for an RPA related book to read. Has anyone a specific book you would like to recommend to read ? Thanks.",it-automation
Is this a better approach to develop multiple flow with different scrapping frequencies in one(Main.xaml)?,5,1,"Hello All, 
Hope all of you are doing great! 
I have a doubt related to my project. 
i have to do the scrapping from  11 portals, and overall scrapping scenario is around 40, then scrapped data have to push into sql serv&hellip;",it-automation
Terminal (internal) to AS400 over SSL,1,0,"Hi everbody, 
Im trying to connect to AS400 over SSL/TLS using terminal activity with 5250 emu type, i can only establish connections to system running without encryption but when i need to use it to AS400 running with S&hellip;",it-automation
ML/AI Integration with UIPath,3,1,"Hi Everyone, 
I want to know how can I integrate Uipath with ML/AI. What all packages can help in it? 
and Whether they can work in community version or need enterprise version .",it-automation
HTML INPUT ELEMENT TYPE ISSUE,9,6,"Hi, 
I am getting error when trying to record a click on a file browse element on Internet Explorer. Screenshot are given below:",it-automation
Outlook Automation - I want to automatically open locally saved outlook emails and save and export their zip file,3,1,"Hello! 
I currently have a locally stored folder of 50+ outlook emails which each have a zipped file I want to download, extract, and change the file type ***.unl to ***.dsv. 
I was able to build a basic workflow to wher&hellip;",it-automation
Guidewire ClaimCenter 9 New Claim Selector Issue,2,0,"Hi All, 
Recently we are planned to Autoamate the Guidewire ClaimCenter 9 - Creating new claim process. but we stuck in the very beginning step. We are not able to select the Newclaim from Claim Tab. We tried many ways n&hellip;",it-automation
Check the attribute (aaname) of UiElement using If Activity,6,2,"There is an UiElement having selector: 



I want to check that this selector contains aaname value as that of entered by the user which stored in variable “WorkID” using the “IF” activity. Can anybody help me with this? &hellip;",it-automation
ML Activity issue with recognition,2,0,"Hi I am having a problem with ML Activity 
It can not see a dot when extracting number 
  
Is there a possibility to fix this somehow? 
Can you improve a AI model to include that item in training set of a model so the ne&hellip;",it-automation
Problem with UiPaht Studio auto recorder,5,1,"Hi. 
While on the UiPath Studio recorder, pressing esc to stop recording exits the recording, but does not record. 
Can you help me with this. 
Thank you",it-automation
Can I add image screenshot into the outlook email body?,2,0,Can I add image screenshot into the outlook email body?,it-automation
How to fetch orchestrator jobs start time and end time from odata swagger UI?,1,0,I’m not able to get previous day run start time and end time using odata swagger UI.,it-automation
Https://www.iopex.com/case-study-aws-cost-optimization,1,0,Find out how iOPEX helped a leading US based Digital Ad Marketing company reduce their AWS expenses by 22%,it-automation
Computer Vision Server API Key missing or Invalid,9,5,"Error message: Server API Key missing or invalid, Please copy it from the licenses page on cloud.uipath.com [401]. 
my settling as: 
 
the API KEY is copy from: 
  
and project dependence is :slight_smile: 
 
all latest &hellip;",it-automation
Window application - UI element not recognised. Entire window identified as single element,9,3,"Hello, 
I am trying to automate a window application but the entire application is identified as single element. Selectors doesn’t recognize each objects such as username, password etc. 
I tried changing the UI framework&hellip;",it-automation
AD Server connection error,3,0,"Hi, 
for one of our project i was doing a POC, for which we needed to connect with the AD server and check the user exists or not. 
i’ve use AD Scope activity and provided all the details. But while executing i’ve been g&hellip;",it-automation
"Firefox ""Warning: Potential Security Risk Ahead""",8,6,"Hi, 
I’m trying to get passed the certificate error page of Firefox with the displayed message “Warning: Potential Security Risk Ahead”. 
I use a find element for the advanced button, save it in a variable, then use an I&hellip;",it-automation
AI fabric - when it can be used with free community version,1,0,"Hi, 
AI fabric - when it can be used with free community version , right now it requires Enterprise licnese, if we go ahead with it, would we be able to still use community version for free ? 
Regards",it-automation
Share point folder creation and permssion enabling from sql DB,1,0,"HI all 
The requirement is to create a folder structure in a share point and provide permission(like read write permission) also, but the input will be form sql DB , has anyone met with a similar requirement Before pleas&hellip;",it-automation
Change data type from text to integer in a data table before pasting in excel,2,0,"Hi, 
I am reading an excel data table, then doing calculation and writing the new datatable in excel. However, it writes in excel as Text and not numbers. 
How can I change in my data table that a specific column should &hellip;",it-automation
Process from Studio to Robot,7,5,"Hello everyone, 
I’m working in an environment where I have 2 systems. 
1 Studio on a test/development hyper-v machine 
1 Robot on a live/production hyper-v machine 
Running version 2018.2.3 on both systems. 
No Orchestr&hellip;",it-automation
Citrix Automation for PDF Files,2,0,"I would like to extract data from PDF files, which are on Citrix folder. Is these possible with UI Path.",it-automation
Computer vision and ocr is available in mobile automation?,9,6,"Hello guys, 
I want to automate rdp in mobile app how to do that… Please let me know… 
Also I see in community edition there is no computer vision and ocr activities to automate rdp in Mobile 
Urgent please let me know",it-automation
Return some ID created in an Application by RPA bots to the application which has trigerred Bot,1,0,"I have an application which will be initiating UI path BOT using Orchestrator. Bot once initiated will create new record and application will assign new unique ID for the same. 
Bot has to pass this ID created to the app&hellip;",it-automation
If: Column 'Age' does not belong to table DataTable,4,2,"Hi Everyone, 
I am trying to do a simple Excel Automation wherein the robot would read and write data to an excel file, but when I run the robot I’m getting an error. Below is the screenshot. I hope you guys could help m&hellip;",it-automation
Unattended Robot and User session automatic lock,1,0,"Hello, 
I think there is something I don’t understand with the Robot setup… 
My Robot run on a VDI computer (Windows 10), installed as a service. No Orchestrator. 
On this VDI I open a user session to run an “agent”. A (&hellip;",it-automation
